"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBXO7",2132.17789169486,-2.89471554525263,0.386936677054793,-7.48110922770631,7.36978914977045e-14,3.32836592273813e-11
"LOC105376425",493.171987087588,8.03019427161154,1.07424246422876,7.475215827906,7.70772466080342e-14,3.42484043033021e-11
"CREBL2",221.609383649766,-1.21105979616214,0.162619623395192,-7.44719346212646,9.53467533489061e-14,4.16937731430002e-11
"HBA1",71689.6196501846,-3.47335836766839,0.472115591846569,-7.35700838450001,1.88077540496497e-13,8.04080385614666e-11
"PLK5",1098.52735931523,7.9140770426625,1.07588899612141,7.3558490431567,1.89717322098636e-13,8.04080385614666e-11
"TMEM200B",121.654175131016,-3.21174996497244,0.43789918905481,-7.33445058874143,2.22632884724459e-13,9.2928990019305e-11
"LOC105370345",1764.4856066985,5.75404876599749,0.785004909700511,7.32995258359942,2.30234176377664e-13,9.46674824631085e-11
"SEZ6L2",369.015839685897,6.26969856287925,0.855762104487528,7.32645034174988,2.36328706398288e-13,9.57444048906828e-11
"LOC105369872",759.094779376065,7.91641839484047,1.08144053230536,7.32025308683837,2.47503718878864e-13,9.74459252698445e-11
"SMPD3",169.575353144634,-4.0723895317539,0.556385665545257,-7.31936457737991,2.49147864446486e-13,9.74459252698445e-11
"MICAL2",782.526116208972,-2.93805208000135,0.40146671294949,-7.31829560268175,2.51140175474934e-13,9.74459252698445e-11
"LOC101927020",385.34945257776,7.55427399005311,1.03961111000644,7.26644215066755,3.69079164775326e-13,1.41218915422159e-10
"LOC101929705",830.418927150113,4.48676321592029,0.621804412303267,7.2157146638773,5.36514514326742e-13,2.02471758290239e-10
"ANKRD22",308.902154957311,2.89274500254318,0.404962638183922,7.14323922699601,9.11567732478898e-13,3.39361884622448e-10
"LOC105375719",1013.4949894938,6.73919049426911,0.944237781972544,7.13717521469086,9.52683777838107e-13,3.49939805275493e-10
"LOC100288866",1217.00355884776,5.207424404197,0.731516784895903,7.11866701040637,1.08975833183738e-12,3.9502305636563e-10
"TIMM10",127.455653969587,1.96762423581633,0.276701595841542,7.11099706466138,1.15207590564287e-12,4.1218881979942e-10
"LOC105377998",1074.79164075504,5.83582628816556,0.822395270450987,7.09613308569405,1.28295937980761e-12,4.53131384029743e-10
"TRIM58",2165.6422715569,-3.11835509664397,0.440244459393033,-7.08323530282076,1.40827250925242e-12,4.87085616838316e-10
"SLC14A1",136.645466218244,-2.83163107416032,0.399799469331243,-7.08262839592278,1.41445603641022e-12,4.87085616838316e-10
"BATF2",89.9582545408568,2.51904073123398,0.357344507030131,7.04933385479904,1.79776346690337e-12,6.06713972827227e-10
"RTN1",203.828050135127,-3.55873360577617,0.504877579536941,-7.04870596361227,1.80589298238893e-12,6.06713972827227e-10
"HIPK1-AS1",1211.30900651122,5.41883620590051,0.769356089277236,7.04333959453182,1.87686042118597e-12,6.19640484708439e-10
"HBA2",66027.7720016562,-3.3690335079682,0.478391751489646,-7.0424155464167,1.88935354152633e-12,6.19640484708439e-10
"LOC105378653",422.912351237452,5.11504575977286,0.726776765459929,7.03798745758731,1.95036239064084e-12,6.32123923526642e-10
"TUBB2A",122.244705662097,-3.64189421287531,0.518409114262059,-7.0251353857068,2.13858778646032e-12,6.85069243362738e-10
"HOTS",754.816059149581,5.03860075246782,0.717577600926594,7.02168064605358,2.19215144462696e-12,6.94156093655496e-10
"LINC01093",1136.87818721986,5.67784404321545,0.809187591446735,7.01672158993951,2.27134559828437e-12,7.11060225990183e-10
"SLC22A11",1087.26295647518,6.6797222298621,0.954255884449211,6.99992773292416,2.56094570083645e-12,7.92713405756668e-10
"VEGFD",1314.29993638976,5.83801845720011,0.834358292853707,6.99701615864892,2.61471140770707e-12,8.0018096515974e-10
"FRRS1L",1082.03342191556,7.13892491247053,1.02050257782086,6.99549914681715,2.64316192346497e-12,8.0018096515974e-10
"LOC105370178",956.428498016417,1.82098771901751,0.260950777271727,6.97828049433754,2.98814623551522e-12,8.94787398284878e-10
"TMOD1",207.332673079341,-2.46155098345516,0.355622071058387,-6.9218172430333,4.4588625929061e-12,1.32083016744054e-09
"LINC01456",996.516260205792,4.76825048859991,0.689282240530585,6.91770396540244,4.59022232309337e-12,1.33245145992647e-09
"BAG1",561.901756132535,-2.7410389112707,0.396243497093426,-6.91756188146204,4.59482698802188e-12,1.33245145992647e-09
"GATA4",1485.75014201021,5.77081003350887,0.834540687127296,6.91495348581922,4.68016911518235e-12,1.34306228077249e-09
"CBLN2",1578.06274664236,5.51617637668623,0.798036999699191,6.91218123817,4.77257552359106e-12,1.35546065050938e-09
"DUSP6",496.114954210883,-2.54372500656803,0.368563517722419,-6.90172761071763,5.13738737679865e-12,1.4432404738498e-09
"BCL2L1",1465.62375216949,-2.46433832677474,0.357130903106382,-6.90037827961548,5.18642444049259e-12,1.4432404738498e-09
"LOC105371084",1764.01106887963,-2.48879782327827,0.360783236980217,-6.89831890225747,5.26215154835025e-12,1.44967013005501e-09
"GUK1",345.66978445828,-1.94181160922348,0.283069123720664,-6.85984957914269,6.89330933897802e-12,1.88023543544065e-09
"NR2E1",760.149608712103,6.12681965579054,0.893599478055291,6.85633754970864,7.06483344364254e-12,1.90812839744028e-09
