"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"IGHV1-69-2",39.5440251033341,-2.5087731714346,0.832259929287862,-3.01441062238966,0.00257479062656886,0.00818740652283636
"EPC2",962.81954334518,-0.60363812618184,0.200265382840489,-3.01419105798548,0.002576654859159,0.00819246219192842
"HTRA1",36.4286052109546,2.47177212324921,0.820068083431242,3.01410599094051,0.00257737746071717,0.00819388736047673
"XYLT2",36.2224568992656,-1.13436131770617,0.376371368054101,-3.01394158533099,0.00257877452844768,0.00819745623119639
"LOC107984313",1.74253194633848,5.00298531979783,1.65998030027458,3.01388234485089,0.00257927810530899,0.00819818439921808
"STUM",13.9637054984185,1.95960637775531,0.65021836444073,3.01376658200176,0.00258026241313271,0.00820044024350414
"SAMD11",13.3579305569699,1.05702415146912,0.350782234193937,3.01333433803471,0.00258394073152857,0.00821125664472236
"MCF2",63.1083958967002,1.11147230093326,0.36885618969814,3.01329442741046,0.00258428060544088,0.00821135727964461
"SPDYE6",203.11158619614,-1.01976774223891,0.33842605521104,-3.0132660489246,0.00258452229796281,0.00821135727964461
"TGM6",7.95392821313909,1.94552228762654,0.645706312921719,3.01301419653675,0.00258666816808714,0.00821730080203409
"LOC105376987",23.2517348507915,2.36030189376576,0.783476771621246,3.01259970845287,0.00259020329805484,0.00822765597706955
"CLIP4",329.793018358645,-0.798432808922508,0.265049930643848,-3.01238640954551,0.0025920242254887,0.00823256444690204
"ST8SIA4",2093.17332568631,-0.974073109627625,0.32337699402888,-3.0121905009131,0.00259369772371347,0.00823700367064046
"PRDX6",365.940685800531,-0.86194394852323,0.286158745335457,-3.01211814272107,0.00259431607441412,0.0082380913941922
"LINC01807",10.8201975566578,1.8037150189723,0.598886840519054,3.01177934951622,0.00259721308961936,0.00824571545751053
"EPHA4",162.832617689325,-0.955140187064977,0.317136714007633,-3.01176163111152,0.00259736468076968,0.00824571545751053
"SLBP",257.863132511504,0.751401362689762,0.249490737353018,3.01174051855305,0.0025975453214217,0.00824571545751053
"ARID4B",3037.48875665615,0.869847472762052,0.288840072516306,3.01151936843164,0.00259943818908029,0.00825084722254043
"POLR3F",54.8899337074977,-0.754061542045954,0.250397877318335,-3.01145341215215,0.00260000296603281,0.00825176286722314
"GPR22",17.886539874423,-1.37799891918072,0.457626492235061,-3.01118694516685,0.00260228583829757,0.00825779182725384
"LOC103312105",5.14297749818927,2.4992469462154,0.829992767578067,3.01116713764656,0.00260245560616485,0.00825779182725384
"RNF34",233.042303421484,-0.571693433016921,0.189895094205863,-3.01057505149215,0.00260753498281049,0.0082730300925991
"PDS5A",1212.16283989872,-0.710222410280845,0.235926928715397,-3.01034906929848,0.00260947602290978,0.00827830905292124
"LOC107986115",29.6511614550937,-1.07251108621585,0.356408619653268,-3.00921758642998,0.00261921460529439,0.00830832120946542
"LOC105377642",2.58858406142028,3.62178682369482,1.20363040728351,3.00905228197822,0.00262064014583177,0.00831196027562295
"TEX10",254.029061477429,-0.539977686434003,0.179475501158445,-3.00864286740339,0.00262417387986904,0.00832200614760823
"TTC26",29.1311581471554,1.13331078897853,0.376687817242173,3.00862076526867,0.00262436477141049,0.00832200614760823
"SPACA1",2.85531184499486,3.53429483478504,1.17481825889306,3.00837581305141,0.00262648122287654,0.0083278332860397
"LOC101927389",4.59861202848251,1.88227651859127,0.6257937249961,3.00782261535621,0.00263126673833164,0.00834212114015651
"LOC105369536",60.9474528174167,-1.30586648852007,0.434274861813473,-3.00700455712991,0.0026383580771006,0.00836371552622965
"LOC105378308",2.37931791721002,3.50924643098069,1.16708675590779,3.00684281885377,0.00263976217224893,0.00836727842010341
"CCL16",3.68414083885299,3.33210133207467,1.10825563357677,3.00661799599492,0.00264171505690634,0.00837257987631411
"BPIFB4",1.42216466488869,3.81893911949889,1.27049395406519,3.0058695732313,0.00264822562032417,0.00839232365778664
"LOC107985885",20.40944408383,-1.06489119838218,0.354297775408982,-3.00563896330686,0.00265023466022958,0.00839779927084949
"ZNF106",1128.82469460724,-0.853169097249794,0.283881665785032,-3.0053687859358,0.00265259017802683,0.00840437149021549
"LOC105378909",42.1390604574445,1.35336776238844,0.450350846041684,3.00514093463739,0.00265457816686443,0.00840977797320529
"LOC112268093",13.3360475265013,-2.57521550625042,0.856969632644536,-3.00502539197746,0.00265558678988479,0.00841208098004978
"KIF13B",517.905521368448,-0.594500078300089,0.197852557806361,-3.00476316753977,0.00265787716274082,0.00841844325646988
"RIN2",406.729990659938,0.994082803288134,0.330876607248811,3.00439130935784,0.00266112821609538,0.00842784667801574
"MAP3K1",2383.10521630483,-1.02216343867585,0.340230906126808,-3.00432271221968,0.00266172833884674,0.00842885344498545
"LOC105372218",1.59723131647518,3.32179430985226,1.10577602159394,3.00403901421556,0.00266421158751896,0.00843582263160028
